evals_bought,evals_passed,funded_accounts,payouts,withdrawn,fees_paid,net_to_trader,avg_payout,largest_payout,first_payout_day,pct_time_funded,days_funded,days_in_eval,config,firm,policy,fees,eval_pass_rate
97,25,25,59,72453.14027832137,11640.0,60813.14027832137,1228.0193267512093,5785.275000000078,850,50.467554548030606,1781,1748,pct 0.5% (fixed stop),apex_50k,half_buffer,promo,31.80098923479779
97,25,25,59,72453.14027832137,24444.0,48009.14027832137,1228.0193267512093,5785.275000000078,850,50.467554548030606,1781,1748,pct 0.5% (fixed stop),apex_50k,half_buffer,list,31.80098923479779
111,28,28,32,74989.89999999985,11535.0,63454.89999999985,2343.4343749999953,9543.279999999948,867,45.08359308586002,1591,1938,pct 0.5% (fixed stop),apex_50k,accumulate,promo,31.80098923479779
111,28,28,32,74989.89999999985,26187.0,48802.89999999985,2343.4343749999953,9543.279999999948,867,45.08359308586002,1591,1938,pct 0.5% (fixed stop),apex_50k,accumulate,list,31.80098923479779
177,50,50,27,63282.30000000019,11319.0,51963.30000000019,2343.788888888896,8866.799999999996,842,19.60895437801077,692,2837,pct 0.5% (fixed stop),topstep_50k,immediate,promo,32.14077952297848
177,50,50,27,63282.30000000019,38115.0,25167.300000000192,2343.788888888896,8866.799999999996,842,19.60895437801077,692,2837,pct 0.5% (fixed stop),topstep_50k,immediate,list,32.14077952297848
156,51,51,40,49901.05375000011,11123.0,38778.05375000011,1247.526343750003,4433.399999999998,842,28.053272881836214,990,2539,pct 0.5% (fixed stop),topstep_50k,half_buffer,promo,32.14077952297848
156,51,51,40,49901.05375000011,37455.0,12446.053750000108,1247.526343750003,4433.399999999998,842,28.053272881836214,990,2539,pct 0.5% (fixed stop),topstep_50k,half_buffer,list,32.14077952297848
176,50,50,19,64579.260000000184,11515.0,53064.260000000184,3398.908421052641,8866.799999999996,842,20.969113063190704,740,2789,pct 0.5% (fixed stop),topstep_50k,accumulate,promo,32.14077952297848
176,50,50,19,64579.260000000184,38775.0,25804.260000000184,3398.908421052641,8866.799999999996,842,20.969113063190704,740,2789,pct 0.5% (fixed stop),topstep_50k,accumulate,list,32.14077952297848
